Index, Allergen
11,Shallot
3,Shavegrass
137,Sheep
82,Shellfish
82,Shrimp
96,Silver perch
90,Silverside
98,Skipjack
40b,Sloe
108,Smelt
81,Snail
51,Soapberry
11,Soap plant
103,Sole
6,Sorghum
27,Sorrel
80,Southernwood
41,Soybean
41,Soy products
73,Spearmint
28,Spinach
96,Spot
96,Spotted sea trout
47,Spurge
79,Squash
81,Squid
130,Squirrel
55,Sterculia
40c,Strawberry
41,String bean
104,Sturgeon
110,Sucker
28,Sugar beet
6,Sugar cane
73,Summer savory
114,Sunfish
80,Sunflower seed products
36,Swede
65,Sweet cicely
6,Sweet corn
74,Sweet pepper
70,Sweet potato
100,Swordfish
14,Yam
14,Yam
14,Yampi
80,Yarrow
9,Yauita
113,Yellow bass
94,Yellow jack
115,Yellow perch
49,yerba mate
17,Cardamom
80,Cardoon
135,Caribou
41,Carob
111,Carp
29,Carpetweed
1,Carrageenan
65,Carrot
65,Carrot
79,Casaba melon
79,Caserta squash
48,Cashew
48,Cashew
47,Cassava
34,Cassia bark
47,Castor bean
47,Castor oil
88,Catfish (ocean)
112,Catfish species
73,Catnip
36,Cauliflower
104,Caviar
74,Cayenne pepper
65,Celeriac
65,Celery
80,Celtuce
9,Ceriman
80,Chamomile
52,Champagne
28,Chard
79,Chayote
40b,Cherry
65,Chervil
24,Chestnut
73,Chia seed
124,Chicken
41,Chickpea
67,Chicle
80,Chicory
74,Chili pepper
36,Chinese cabbage
56,Chinese gooseberry
14,Chinese potato
79,Chinese preserving melon
7,Chinese water chestnut
24,Chinquapin
11,Chives
55,Chocolate
111,Chub
7,Chufa
40a,Cider
34,Cinnamon
1,Citric acid
45,Citron
6,Citronella
65,Gotu kola
79,Gourd
6,Graham flour
58,Granadilla
52,Grape
52,Grape
45,Grapefruit
6,Grass
61,Grenadine
6,Grits
74,Ground cherry
7,Groundnut
91,Grouper
123,Grouse (ruffed)
63,Guava
125,Guinea fowl
41,Gum acacia
41,Gum tragacanth
87,Haddock
87,Hake
103,Halibut
101,Harvest fish
23,Hazelnut
23,Filbert
22,Heartnut
66,Heath
54,Hibiscus
22,Hickory nut
134,Hog
49,Holly
6,Hominy
79,Honeydew
77,Honeysuckle
25,Hop
73,Horehound
133,Horse
36,Horseradish
3,Horsetail
3,Horsetail
79,Hubbard squash
66,Huckleberry
73,Hyssop
15,Iris
1,Irish moss
68,Japanese persimmon
80,Jerusalem artichoke
41,Jicama
5,Juniper
68,Kaki
36,Kale
1,Kelp
62,Paradise nut
65,Parsley
65,Parsnip
123,Partridge
58,Passion flower
58,Passion fruit
6,Patent flour
79,Pattypan squash
32,Pawpaw
41,Pea
40b,Peach
124,Peafowl
41,Peanut
40a,Pear
22,Pecan
40a,Pectin
75,Pedalium
73,Pennyroyal
74,Pepino
74,"Pepper,  sweet"
21,Peppercorn
21,Pepper
73,Peppermint
102,Perch (ocean)
113,Perch (white)
115,Perch (yellow)
79,Persian melon
68,Persimmon
124,Pheasant
109,Pickerel
122,Pigeon (squab)
30,Pigweed
109,Pike
84,Pilchard (sardine)
63,Pimenta
74,Pimiento
10,Pineapple
10,Pineapple
5,Pine nut
21,Piper
48,Pistachio
103,Plaice
16,Plantain
40b,Plum
9,Poi
48,Poison ivy
87,Pollack
61,Pomegranate
61,Pomegranate
94,Pompano
6,Popcorn
35,Poppy
35,Poppyseed
97,Porgy
74,Potato
74,Potato
82,Prawn
79,Preserving melon
13,Tacca
75,Tahini
41,Tamarind
28,Tampala
45,Tangelo
45,Tangerine
80,Tansy
47,Tapioca
9,Taro
80,Tarragon
57,Tea
57,Tea
12,Tequila
120,Terrapin
73,Thyme
92,Tilefish
74,Tobacco
74,Tomatillo
74,Tomato
41,Tonka bean
74,Tree tomato
6,Triticale
106,Trout species
2,Truffle
98,Tuna
79,Turban squash
103,Turbot
126,Turkey
17,Turmeric
36,Turnip
120,Turtle species
36,Upland cress
78,Valerian
20,Vanilla
79,Vegetable spaghetti
135,Venison
72,Verbena
40a,Vinegar
115,Walleye
22,Walnut
36,Watercress
79,Watermelon
96,Weakfish
131,Whale
6,Wheat
6,Wheat germ
90,Whitebait
107,Whitefish
21,White pepper
113,White perch
6,Wild rice
40c,Youngberry
47,Yuca
11,Yucca
4,Zamia
79,Zucchini
83,Egg
